OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
129942891,1,Eads St & 15th St S,31000,38.858971,-77.05323,YES,NO,,,NO,5,10,395379.968612,132352.116903,
129942892,2,18th & Eads St.,31001,38.85725,-77.05332,YES,NO,,,NO,4,6,395372.04559,132161.078081,
129942893,3,20th & Crystal Dr,31002,38.856425,-77.049232,YES,NO,,,NO,12,5,395726.817575,132069.297863,
129942894,4,15th & Crystal Dr,31003,38.86017,-77.049593,YES,NO,,,NO,5,6,395695.709759,132485.036787,
129942895,5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,YES,NO,,,NO,8,3,394836.559865,132229.789395,
129942896,6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,YES,NO,,,NO,15,3,394798.172638,132722.353775,
129942897,7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,YES,NO,,,NO,5,9,394506.319669,132877.628009,
129942898,8,Crystal City Metro / 18th & Bell St,31007,38.857063,-77.051141,YES,NO,,,NO,4,11,395561.162085,132140.21153,
129942899,9,12th & Army Navy Dr,31008,38.8629,-77.0528,YES,NO,,,NO,9,2,395417.542182,132788.242701,
129942900,10,27th & Crystal Dr,31009,38.848441,-77.051516,YES,NO,,,NO,11,7,395528.073448,131183.126642,
129942901,11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,YES,NO,,,NO,9,2,395641.954311,130534.671309,
129942902,12,23rd & Crystal Dr,31011,38.8533,-77.0498,YES,NO,,,NO,1,14,395677.32773,131722.427303,
129942903,13,26th & S Clark St,31012,38.850688,-77.05152,YES,NO,,,NO,1,10,395527.866993,131432.559654,
129942904,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,,,NO,0,15,396278.703991,136939.478279,
129942905,15,14th & V St NW,31101,38.9176,-77.0321,YES,NO,,,NO,25,2,397216.209,138859.535109,
129942906,16,11th & Kenyon St NW,31102,38.929464,-77.027822,YES,NO,,,NO,17,10,397587.609059,140176.418051,
129942907,17,16th & Harvard St NW,31103,38.926088,-77.036536,YES,NO,,,NO,23,10,396831.88529,139801.919449,
129942908,18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,YES,NO,,,NO,12,3,396307.546668,139451.026703,
129942909,19,14th & Harvard St NW,31105,38.9268,-77.0322,YES,NO,,,NO,6,13,397207.896987,139880.815985,
129942910,20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,YES,NO,,,NO,2,21,395869.126792,139482.103704,
129942911,21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,YES,NO,,,NO,14,5,396635.843238,140447.182418,
129942912,22,4th & M St SW,31108,38.8767,-77.0178,YES,NO,,,NO,18,4,398455.45489,134318.970619,
129942913,23,15th & P St NW,31201,38.90985,-77.034438,YES,NO,,,NO,16,3,397013.127347,137999.294799,
129942914,24,14th & R St NW,31202,38.912682,-77.031681,YES,NO,,,NO,13,2,397252.356245,138313.583526,
129942915,25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,YES,NO,,,NO,20,0,397198.511012,137860.466775,
129942916,26,20th & E St NW,31204,38.8963,-77.045,YES,NO,,,NO,0,14,396096.32378,136495.534104,
129942917,27,21st & I St NW,31205,38.9008,-77.047,YES,NO,,,NO,15,17,395923.08426,136995.157405,
129942918,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,10,4,397862.930843,140906.665097,
129942919,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,10,1,397156.297,141068.62723,
129942920,30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,YES,NO,,,NO,10,1,400390.158057,140746.200585,
129942921,31,5th & K St NW,31600,38.90304,-77.019027,YES,NO,,,NO,18,1,398349.594835,137242.937938,
129942922,32,19th & East Capitol St SE,31601,38.8896,-76.9769,YES,NO,,,NO,9,6,402004.075388,135751.072746,
129942923,33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,YES,NO,,,NO,10,8,397268.748095,140324.829192,
129942924,34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,YES,NO,,,NO,2,9,402846.790117,132476.608541,
129942925,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,YES,NO,,,NO,6,5,394973.093747,140710.821405,
129942926,36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,YES,NO,,,NO,7,4,403410.085141,134463.86391,
129942927,37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,YES,NO,,,NO,3,12,404558.924508,136580.583292,
129942928,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,,,NO,8,3,405041.715419,137060.652624,
129942929,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,,,NO,3,8,400465.450799,132761.288472,
129942930,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,,,NO,4,7,401038.017913,133283.521336,
129942931,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,,,NO,0,11,396217.713155,136373.366458,
129942932,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,,,NO,15,0,399943.805008,139023.00526,
129942933,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,,,NO,8,6,397753.875644,138814.960958,
129942934,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,,,NO,1,10,398074.958411,139669.641401,
129942935,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,,,NO,0,38,399505.381838,134052.417385,
129942936,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,,,NO,6,7,396132.058995,138615.772169,
129942937,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,,,NO,12,2,398074.704653,138626.162241,
129942938,48,23rd & Eads St,31013,38.853531,-77.053509,YES,NO,,,NO,8,6,395355.399192,131748.252112,
129942939,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,,,NO,0,16,399678.941069,134274.42352,
129942940,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,,,NO,8,36,396149.117868,138027.419941,
129942941,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,,,NO,6,9,399514.273173,137538.062396,
129942942,53,21st & M St NW,31212,38.90534,-77.046774,YES,NO,,,NO,0,19,395942.946377,137499.12394,
129942943,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,,,NO,1,21,396649.214256,137212.392649,
129942944,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,,,NO,7,8,398673.762052,136839.6958,
129942945,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,,,NO,4,6,399800.447438,135251.286747,
129942946,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,,,NO,3,11,401197.395913,134718.537888,
129942947,58,14th & D St SE,31607,38.884,-76.9861,YES,NO,,,NO,10,5,401206.010156,135129.267566,
129942948,59,17th & Corcoran St NW,31214,38.9121,-77.0387,YES,NO,,,NO,18,0,396643.581959,138249.211386,
129942949,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,YES,NO,,,NO,14,1,394460.876027,141852.778344,
129942950,61,Florida Ave & R St NW,31503,38.9126,-77.0135,YES,NO,,,NO,13,0,398829.164675,138304.090647,
129942951,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,YES,NO,,,NO,1,10,400407.815041,134596.349499,
129942952,63,Ward Circle / American University,31301,38.938736,-77.087171,YES,NO,,,NO,6,8,392442.557789,141208.931518,
129942953,64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,YES,NO,,,NO,7,12,393692.036758,140779.898078,
129942954,65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,YES,NO,,,NO,7,4,397155.14644,142209.1331,
129942955,66,Anacostia Library,31804,38.865784,-76.9784,YES,NO,,,NO,6,5,401874.566171,133107.284394,
129942956,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,YES,NO,,,NO,5,6,402515.220511,133914.818919,
129942957,68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,YES,NO,,,NO,4,11,400277.110582,135456.875419,
129942958,69,14th St & New York Ave NW,31216,38.899632,-77.031686,YES,NO,,,NO,0,22,397251.419778,136864.927547,
129942959,70,Benning Branch Library,31705,38.894,-76.947974,YES,NO,,,NO,6,5,404513.315647,136240.53983,
129942960,71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,YES,NO,,,NO,0,39,397551.129647,135488.886373,
129942961,72,Georgetown Harbor / 30th St NW,31215,38.902221,-77.059219,YES,NO,,,NO,18,1,394863.275372,137153.516436,
129942962,73,12th & Newton St NE,31501,38.933668,-76.991016,YES,NO,,,NO,10,0,400778.939067,140642.769176,
129942963,74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,YES,NO,,,NO,5,9,395958.575909,136342.301234,
129942964,75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,YES,NO,,,NO,4,11,398070.358283,135380.954316,
129942965,76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,YES,NO,,,NO,4,27,397743.311338,136131.675603,
129942966,77,Kennedy Center,31211,38.897293,-77.05557,YES,NO,,,NO,5,14,395179.460813,136606.270059,
129942967,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,YES,NO,,,NO,0,19,400399.371566,135129.185818,
129942968,79,18th & M St NW,31221,38.904742,-77.041606,YES,NO,,,NO,0,17,396391.174804,137432.524105,
129942969,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,YES,NO,,,NO,8,5,393118.694901,142193.075135,
129942970,81,13th & H St NE,31611,38.9003,-76.9882,YES,NO,,,NO,24,3,401023.573296,136938.670042,
129942971,82,5th & F St NW,31620,38.897222,-77.019347,YES,NO,,,NO,2,29,398321.701106,136597.099134,
129942972,83,New York Ave & 15th St NW,31222,38.8991,-77.0337,YES,NO,,,NO,0,17,397076.694944,136805.933859,
129942973,84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,YES,NO,,,NO,8,10,398068.369513,137542.390411,
129942974,85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,YES,NO,,,NO,6,9,396240.429179,140000.217563,
129942975,86,19th & L St NW,31224,38.903407,-77.043648,YES,NO,,,NO,0,13,396213.984769,137284.411017,
129942976,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,YES,NO,,,NO,10,12,394562.313418,137323.448778,
129942977,88,6th & Water St SW / SW Waterfront,31609,38.87675,-77.02127,YES,NO,,,NO,9,10,398154.356663,134324.58543,
129942978,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,YES,NO,,,NO,11,12,400250.36119,136323.401693,
129942979,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,YES,NO,,,NO,7,4,394085.432548,138732.707327,
129942980,91,13th St & New York Ave NW,31227,38.900283,-77.029822,YES,NO,,,NO,0,23,397413.134775,136937.139289,
129942981,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,,,NO,8,24,397997.422739,136872.252296,
129942982,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,,,NO,11,0,400616.55447,140514.65083,
129942983,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,,,NO,5,6,399570.683913,138123.294278,
129942984,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,,,NO,11,12,400143.387665,136902.194557,
129942985,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,,,NO,17,2,399830.937184,136951.038592,
129942986,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,,,NO,9,6,401485.740304,136951.287176,
129942987,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,,,NO,9,0,399969.722128,135790.227018,
129942988,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,23,0,401010.267379,135846.461355,
129942989,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,6,5,403479.930733,133487.028166,
129942990,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,27,4,401072.83909,136331.684991,
129942991,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,19,3,396688.840824,138631.060893,
129942992,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,0,31,397582.479829,136724.061412,
129942993,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,,,NO,0,25,397257.208366,136296.786777,
129942994,105,7th & F St NW / National Portrait Gallery,31232,38.897351,-77.022465,YES,NO,,,NO,10,17,398051.226734,136611.481103,
129942995,106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,YES,NO,,,NO,11,24,396675.897757,137134.786759,
129942996,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,,,NO,1,17,396116.094799,137894.781249,
129942997,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,0,15,398602.812134,136388.571628,
129942998,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,8,26,396217.559402,136051.443606,
129942999,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,0,21,393785.303628,137766.943071,
129943000,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,19,0,400747.472059,136903.449625,
129943001,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,14,1,395360.753563,137331.48835,
129943002,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,30,17,399572.334523,136567.848754,
129943003,114,North Capitol St & F St NW,31624,38.897446,-77.009888,YES,NO,,,NO,13,10,399142.245958,136621.833529,
129943004,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,11,8,397646.216803,137528.073592,
129943005,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,5,10,393900.888913,139414.328181,
129943006,117,14th & G St NW,31238,38.898069,-77.031823,YES,NO,,,NO,0,21,397239.475325,136691.426198,
129943007,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,19,4,395612.785067,130691.762252,
129943008,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,19,2,395959.439116,135143.527302,
129943009,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,0,14,397660.013989,136667.757074,
129943010,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,0,19,395672.806435,136473.996639,
129943011,127,Lynn & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,0,30,393841.561641,136609.639671,
129943012,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,1,17,393727.510729,136308.342547,
129943013,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,6,9,393373.114147,136179.639954,
129943014,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,,,NO,4,10,392660.615824,135986.892423,
129943015,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,YES,NO,,,NO,2,9,393113.950267,136038.436975,
129943016,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,,,NO,6,9,404156.774847,133086.617677,
129943017,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,,,NO,9,5,395960.17161,136069.220972,
129943018,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,,,NO,7,8,391974.956594,135688.280275,
129943019,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,,,NO,12,7,396212.125979,139200.636678,
129943020,136,17th & Rhode Island Ave NW,31239,38.906602,-77.038785,YES,NO,,,NO,2,21,396635.950679,137638.891467,
129943021,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,,,NO,0,32,397181.057627,137560.750916,
129943022,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,YES,NO,,,NO,8,3,392287.433852,135843.380827,
129943023,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,,,NO,5,10,391924.535553,135588.424463,
129943024,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,,,NO,1,16,391768.776735,135561.942929,
129943025,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,,,NO,0,27,396396.730564,136870.598717,
129943026,142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,YES,NO,,,NO,0,38,398356.865453,135495.560709,
129943027,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,,,NO,3,16,398486.416422,135142.641295,
129943028,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,,,NO,11,6,399841.390392,134816.690732,
129943029,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,,,NO,8,7,398078.532356,138317.44722,
129943030,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,,,NO,11,4,397824.004844,141545.753478,
129943031,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,,,NO,14,1,398934.235035,138616.786183,
129943032,148,Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,YES,NO,,,NO,11,8,397967.526376,140031.112124,
